lmax,repeat,stage,time_ms
1,16,1_convolution.weight_nn_ms,0.07387693040072918
1,16,1_convolution.src_gather_ms,0.01092487946152687
1,16,1_convolution.message_tp_ms,0.18420699052512646
1,16,1_convolution.aggregation_ms,0.03614393062889576
1,16,1_convolution.denominator_ms,0.00864500179886818
1,16,2_convolution.weight_nn_ms,0.07289997301995754
1,16,2_convolution.src_gather_ms,0.010948162525892258
1,16,2_convolution.message_tp_ms,0.10407506488263607
1,16,2_convolution.aggregation_ms,0.04044198431074619
1,16,2_convolution.denominator_ms,0.008794944733381271
1,16,top_force_output_ms,2.695965114980936
1,16,model_total_ms,4.9261238891631365
1,17,edge_length_norm_ms,0.015519093722105026
1,17,radial_basis_ms,0.030701979994773865
1,17,cutoff_ms,0.055626966059207916
1,17,radial_combine_ms,0.00764802098274231
1,17,spherical_harmonics_ms,0.07512909360229969
1,17,0_convolution.weight_nn_ms,0.07788022048771381
1,17,0_convolution.src_gather_ms,0.011455034837126732
1,17,0_convolution.message_tp_ms,0.07925904355943203
1,17,0_convolution.aggregation_ms,0.03453507088124752
1,17,0_convolution.denominator_ms,0.008072005584836006
1,17,1_convolution.weight_nn_ms,0.07506506517529488
1,17,1_convolution.src_gather_ms,0.01120404340326786
1,17,1_convolution.message_tp_ms,0.18431898206472397
1,17,1_convolution.aggregation_ms,0.03597303293645382
1,17,1_convolution.denominator_ms,0.008624047040939331
1,17,2_convolution.weight_nn_ms,0.07304293103516102
1,17,2_convolution.src_gather_ms,0.010919058695435524
1,17,2_convolution.message_tp_ms,0.09279605001211166
1,17,2_convolution.aggregation_ms,0.0338749960064888
1,17,2_convolution.denominator_ms,0.008570030331611633
1,17,top_force_output_ms,2.7148679364472628
1,17,model_total_ms,5.004572914913297
1,18,edge_length_norm_ms,0.015493016690015793
1,18,radial_basis_ms,0.029915012419223785
1,18,cutoff_ms,0.05332799628376961
1,18,radial_combine_ms,0.00775093212723732
1,18,spherical_harmonics_ms,0.07306202314794064
1,18,0_convolution.weight_nn_ms,0.07730210199952126
1,18,0_convolution.src_gather_ms,0.011119991540908813
1,18,0_convolution.message_tp_ms,0.07888698019087315
1,18,0_convolution.aggregation_ms,0.0338719692081213
1,18,0_convolution.denominator_ms,0.008512986823916435
1,18,1_convolution.weight_nn_ms,0.07534399628639221
1,18,1_convolution.src_gather_ms,0.011424068361520767
1,18,1_convolution.message_tp_ms,0.18156412988901138
1,18,1_convolution.aggregation_ms,0.03573717549443245
1,18,1_convolution.denominator_ms,0.008749077096581459
1,18,2_convolution.weight_nn_ms,0.07407204248011112
