quadrant,dataset,lmax,stage_group,mean_ms,std_ms
small_dense,salex_val_official,5,force_output_ms,39.209392348614834,0.05469931178849085
small_dense,salex_val_official,5,gather_total_ms,0.6421063560992479,0.008939042173828947
small_dense,salex_val_official,5,model_total_ms,50.31775296665728,0.16941995064802529
small_dense,salex_val_official,5,other_ms,2.6740930043160915,0.12768796445158964
small_dense,salex_val_official,5,radial_total_ms,0.10275871027261019,0.005319559833098304
small_dense,salex_val_official,5,spherical_harmonics_ms,0.7983561527604858,0.08208415478752003
small_dense,salex_val_official,5,tp_total_ms,6.592553931598862,0.02268447757473841
small_dense,salex_val_official,5,weight_nn_total_ms,0.2984924629951517,0.011517356532672624
small_dense,salex_val_official,6,force_output_ms,96.69475445213418,0.06641242481101262
small_dense,salex_val_official,6,gather_total_ms,1.0201232119773824,0.007165389026484204
small_dense,salex_val_official,6,model_total_ms,115.25003778903435,0.34198874829749853
small_dense,salex_val_official,6,other_ms,3.328637833086153,0.23671183333282286
small_dense,salex_val_official,6,radial_total_ms,0.1071241529037555,0.006420340729809707
small_dense,salex_val_official,6,spherical_harmonics_ms,1.2088441367571552,0.12115848949502403
small_dense,salex_val_official,6,tp_total_ms,12.566399465625485,0.060134140082160496
small_dense,salex_val_official,6,weight_nn_total_ms,0.3241545365502437,0.020226703063046806
small_dense,salex_val_official,7,force_output_ms,199.56413827215633,0.09905433716491258
small_dense,salex_val_official,7,gather_total_ms,1.5806151476378243,0.014559040430424034
small_dense,salex_val_official,7,model_total_ms,229.57423337890455,0.4148123976990617
small_dense,salex_val_official,7,other_ms,3.8682292758797607,0.2591940149443153
small_dense,salex_val_official,7,radial_total_ms,0.11498651001602411,0.010007355776505328
small_dense,salex_val_official,7,spherical_harmonics_ms,1.769515375296275,0.2309624809622148
small_dense,salex_val_official,7,tp_total_ms,22.29382510607441,0.03449147445994285
small_dense,salex_val_official,7,weight_nn_total_ms,0.38292369184394676,0.013879760430996731
small_dense,salex_val_official,8,force_output_ms,383.5912524567296,0.1409251041026342
small_dense,salex_val_official,8,gather_total_ms,2.3780770444621644,0.00923328017179981
small_dense,salex_val_official,8,model_total_ms,431.3248007092625,0.6199056635389524
small_dense,salex_val_official,8,other_ms,4.490292708699902,0.32303407171542775
small_dense,salex_val_official,8,radial_total_ms,0.11677920507888,0.007567877043796651
small_dense,salex_val_official,8,spherical_harmonics_ms,2.4488748206446567,0.35166721535547285
small_dense,salex_val_official,8,tp_total_ms,37.85485200739155,0.048397529568726894
small_dense,salex_val_official,8,weight_nn_total_ms,0.44467246625572443,0.008738125282824203
small_sparse,spice_2023,1,force_output_ms,2.882950745212535,0.5791750961024091
small_sparse,spice_2023,1,gather_total_ms,0.23346395852665106,0.457545217707244
small_sparse,spice_2023,1,model_total_ms,5.489356334631641,1.4221224892654438
small_sparse,spice_2023,1,other_ms,1.494563790038228,0.30367192841867413
small_sparse,spice_2023,1,radial_total_ms,0.11016190983355045,0.02514012221479343
small_sparse,spice_2023,1,spherical_harmonics_ms,0.11696030851453543,0.04437874715578818
small_sparse,spice_2023,1,tp_total_ms,0.39741070941090584,0.08621779515438467
small_sparse,spice_2023,1,weight_nn_total_ms,0.2538449130952358,0.05394039040837458
small_sparse,spice_2023,2,force_output_ms,4.141623441440363,0.07258626362672144
small_sparse,spice_2023,2,gather_total_ms,0.1427238496641318,0.004267448035897636
small_sparse,spice_2023,2,model_total_ms,7.046218550143142,0.1245152055544888
small_sparse,spice_2023,2,other_ms,1.6365099310254057,0.043788451406691555
small_sparse,spice_2023,2,radial_total_ms,0.10177463603516419,0.009837716272970488
small_sparse,spice_2023,2,spherical_harmonics_ms,0.1647871375704805,0.04354624683565446
small_sparse,spice_2023,2,tp_total_ms,0.6261537317186594,0.011884736832038886
small_sparse,spice_2023,2,weight_nn_total_ms,0.2326458226889372,0.008108771192923124
small_sparse,spice_2023,3,force_output_ms,6.4153773710131645,0.4329951546430311
small_sparse,spice_2023,3,gather_total_ms,0.14960827926794687,0.007666547450141819
small_sparse,spice_2023,3,model_total_ms,10.423108143731952,1.8572047569152184
small_sparse,spice_2023,3,other_ms,2.1574673630918064,1.4548110514426669
small_sparse,spice_2023,3,radial_total_ms,0.09623355387399594,0.005376033717423793
small_sparse,spice_2023,3,spherical_harmonics_ms,0.24386928416788578,0.0433771230392166
small_sparse,spice_2023,3,tp_total_ms,1.1278579865271847,0.033457584394962166
small_sparse,spice_2023,3,weight_nn_total_ms,0.2326943057899674,0.006407678025676485
small_sparse,spice_2023,4,force_output_ms,9.494865134668848,0.10568342285571068
small_sparse,spice_2023,4,gather_total_ms,0.1572384654233853,0.007523361049199859
small_sparse,spice_2023,4,model_total_ms,14.63369510602206,0.17590102777839148
small_sparse,spice_2023,4,other_ms,2.319707030740877,0.13299385054940333
small_sparse,spice_2023,4,radial_total_ms,0.09820885801066954,0.004976766199203242
small_sparse,spice_2023,4,spherical_harmonics_ms,0.45751866418868303,0.049754669735834464
small_sparse,spice_2023,4,tp_total_ms,1.8680540068695943,0.037447585764893425
small_sparse,spice_2023,4,weight_nn_total_ms,0.23810294612000385,0.009778706071240024
small_sparse,spice_2023,5,force_output_ms,13.988790893927217,0.7157282426452933
small_sparse,spice_2023,5,gather_total_ms,0.1659595174714923,0.006014998664951795
small_sparse,spice_2023,5,model_total_ms,20.790543182132144,0.8410725106072308
small_sparse,spice_2023,5,other_ms,2.6066985757400594,0.1360100214886631
small_sparse,spice_2023,5,radial_total_ms,0.10059707177182038,0.013098489309994224
small_sparse,spice_2023,5,spherical_harmonics_ms,0.7548395311459899,0.07347349699749907
small_sparse,spice_2023,5,tp_total_ms,2.934972235622505,0.1545536159009514
small_sparse,spice_2023,5,weight_nn_total_ms,0.2386853564530611,0.006905392624778913
small_sparse,spice_2023,6,force_output_ms,19.684246500643592,0.1903624848530565
small_sparse,spice_2023,6,gather_total_ms,0.18555949597309032,0.004201888370634591
small_sparse,spice_2023,6,model_total_ms,28.75059482175857,0.33594114763810173
small_sparse,spice_2023,6,other_ms,2.9650548938661814,0.14006300895991125
small_sparse,spice_2023,6,radial_total_ms,0.10247020982205868,0.008372391460786756
small_sparse,spice_2023,6,spherical_harmonics_ms,1.208651764318347,0.1162132167316787
small_sparse,spice_2023,6,tp_total_ms,4.357195249758661,0.0629968624759132
small_sparse,spice_2023,6,weight_nn_total_ms,0.24741670737663904,0.00734918545106366
small_sparse,spice_2023,7,force_output_ms,27.427145986196894,0.5057693269885039
small_sparse,spice_2023,7,gather_total_ms,0.2557903140162428,0.007673643240482313
small_sparse,spice_2023,7,model_total_ms,39.55591881337265,0.6543365449635458
small_sparse,spice_2023,7,other_ms,3.479278887001177,0.1818617392769411
small_sparse,spice_2023,7,radial_total_ms,0.10526594705879688,0.006268433004303201
small_sparse,spice_2023,7,spherical_harmonics_ms,1.7183568173398573,0.19200070564403002
small_sparse,spice_2023,7,tp_total_ms,6.312252293961744,0.10974451021748177
small_sparse,spice_2023,7,weight_nn_total_ms,0.257828567797939,0.011822649103578962
small_sparse,spice_2023,8,force_output_ms,36.83322203966478,0.5372651313074122
small_sparse,spice_2023,8,gather_total_ms,0.3733705884466569,0.0067042241168906525
small_sparse,spice_2023,8,model_total_ms,53.354276165676616,1.8232033509986552
small_sparse,spice_2023,8,other_ms,4.464896388041477,1.449209008331247
small_sparse,spice_2023,8,radial_total_ms,0.11132819733271997,0.009122652722132099
small_sparse,spice_2023,8,spherical_harmonics_ms,2.4047045269981027,0.32721239919040646
small_sparse,spice_2023,8,tp_total_ms,8.890220647056898,0.1746208451454796
small_sparse,spice_2023,8,weight_nn_total_ms,0.2765337781359752,0.01846009469482423
