dataset,sample_id,natoms,case,stage,time_ms,calls,load
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_dst_index_ms,0.0073729897849261,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_filter_gather_ms,0.0105979852378368,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_message_tp_ms,7.316256000194699,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_src_gather_ms,0.0741489930078387,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_src_index_ms,0.0101199839264154,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_weight_select_ms,0.3204780514352023,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.weight_nn_ms,0.2241599722765386,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.denominator_ms,0.0213989987969398,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_aggregation_ms,0.9412060026079416,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_dst_index_ms,0.0080639729276299,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_filter_gather_ms,0.0109960092231631,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_message_tp_ms,7.716276042629033,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_src_gather_ms,0.0900159939192235,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.forward_src_index_ms,0.0150360283441841,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.reverse_aggregation_ms,1.0156809585168958,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.reverse_dst_index_ms,0.0072210095822811,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.reverse_filter_gather_ms,0.0102319754660129,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,3_convolution.reverse_message_tp_ms,7.711293001193553,1.0,12012.0
